Charms Office Assistant - Inventory - Cherry Crest Band
Printed 08/20/2026

Category,Description,Brand,Model,Serial #,Barcode,District No.,Case #,Cond,Quantity,Date Purch,Year Purch,Amt Paid,Cur Value,PO Num,Last Service,Locker,Lock #,Combo,Accessories,Vendor,Comments,Assigned To F,Assigned To L,Date Assigned
Woodwind,Flute,Gemeinhardt,2SP,GM2SP-81430,BSD068101,BSD068101,,Good,1,08/22/2018,2018,429.00,260.00,PO-121899,07/08/2024,Cabinet 1,,,"Case, cleaning rod",Music and Arts,,,,
Woodwind,Flute,Yamaha,YFL-222,YF222-20733,BSD068102,BSD068102,,Excellent,1,08/23/2023,2023,479.00,430.00,PO-141207,,Cabinet 1,,,"Case, cleaning rod",Kennelly Keys Music,,,,
Woodwind,"Clarinet, Bb",Yamaha,YCL-255,YC255-41266,BSD068110,BSD068110,,Good,1,08/21/2018,2018,419.00,280.00,PO-121899,,Cabinet 1,,,"Case, mouthpiece, ligature, swab",Kennelly Keys Music,,,,
Woodwind,Alto Saxophone,Jupiter,JAS700,JA700-52218,BSD068120,BSD068120,,Fair,1,08/21/2015,2015,1095.00,600.00,,,Cabinet 2,,,"Case, mouthpiece, neck strap",Ted Brown Music,Neck cork replaced 2023,,,
Brass,"Trumpet, Bb",Yamaha,YTR-2330,YT2330-60119,BSD068130,BSD068130,,Excellent,1,08/21/2023,2023,1099.00,980.00,PO-141207,,Cabinet 2,,,"Case, mouthpiece",Kennelly Keys Music,,,,
Brass,"Trumpet, Bb",Bach,TR300H2,TR300-91642,BSD068131,BSD068131,,Good,1,08/22/2015,2015,589.00,290.00,,06/20/2025,Cabinet 2,,,"Case, 7C mouthpiece",Ted Brown Music,,,,
Brass,Trombone,Yamaha,YSL-354,YS354-70281,BSD068140,BSD068140,,Good,1,08/21/2018,2018,1150.00,760.00,PO-121899,,Cabinet 3,,,"Case, small shank mouthpiece",Music and Arts,,,,
Brass,French Horn,Holton,H602,H602-99310,BSD068150,BSD068150,,Needs Repair,1,08/21/2015,2015,1700.00,850.00,,,Repair shelf,,,"Case, mouthpiece",Kennelly Keys Music,"Stuck rotary valve, estimate requested",,,
Percussion,Snare Drum Kit,Ludwig,LE2477,LU2477-8842,BSD068160,BSD068160,,Good,1,08/21/2018,2018,379.00,210.00,PO-121899,,Percussion closet,,,"Stand, sticks, practice pad, rolling case",Music and Arts,,,,
Percussion,Bell Kit,Yamaha,YG-250D,YG250-9917,BSD068161,BSD068161,,Excellent,1,08/22/2023,2023,429.00,390.00,PO-141207,,Percussion closet,,,"Stand, mallets, case",Music and Arts,,,,
