Charms Office Assistant - Inventory - Clyde Hill Band
Printed 08/20/2026

Category,Description,Brand,Model,Serial #,Barcode,District No.,Case #,Cond,Quantity,Date Purch,Year Purch,Amt Paid,Cur Value,PO Num,Last Service,Locker,Lock #,Combo,Accessories,Vendor,Comments,Assigned To F,Assigned To L,Date Assigned
Woodwind,Flute,Yamaha,YFL-222,YF222-11940,BSD067301,BSD067301,,Good,1,08/22/2019,2019,459.00,310.00,PO-129440,06/18/2025,Cabinet 1,,,"Case, cleaning rod",Kennelly Keys Music,,,,
Woodwind,Flute,Gemeinhardt,2SP,GM2SP-70228,BSD067302,BSD067302,,Fair,1,09/08/2014,2014,399.00,160.00,,,Cabinet 1,,,"Case only, cleaning rod missing",Music and Arts,,,,
Woodwind,Clarinet - Bb,Yamaha,YCL-255,YC255-30117,BSD067310,BSD067310,,Good,1,08/22/2019,2019,419.00,290.00,PO-129440,,Cabinet 1,,,"Case, mouthpiece, ligature, swab",Kennelly Keys Music,,,,
Woodwind,Clarinet - Bb,Buffet Crampon,Prodige,B551990,BSD067311,BSD067311,,Excellent,1,01/30/2023,2023,649.00,570.00,PO-140880,,Cabinet 1,,,"Case, mouthpiece, ligature, swab",Ted Brown Music,,,,
Woodwind,Saxophone - Eb Alto,Yamaha,YAS-26,YA26-5510,BSD067320,BSD067320,,Good,1,08/22/2019,2019,1150.00,820.00,PO-129440,,Cabinet 2,,,"Case, mouthpiece, ligature, neck strap",Music and Arts,,,,
Brass,"Trumpet, Bb",Bach,TR300H2,TR300-88214,BSD067330,BSD067330,,Good,1,09/08/2014,2014,589.00,300.00,,06/18/2025,Cabinet 2,,,"Case, 7C mouthpiece",Kennelly Keys Music,Valves oiled June 2025,,,
Brass,Trombone,King,606,K606-40118,BSD067340,BSD067340,,Needs Repair,1,09/08/2014,2014,612.00,220.00,,,Repair shelf,,,"Case, mouthpiece",Kennelly Keys Music,"Slide is bent, sent for an estimate",,,
Brass,Baritone Horn,Yamaha,YBH-301,YB301-22907,BSD067350,BSD067350,,Excellent,1,01/30/2023,2023,1875.00,1690.00,PO-140880,,"Floor, cabinet 3",,,"Hard case, mouthpiece",Ted Brown Music,,,,
Percussion,Snare Drum Kit,Pearl,PL-900C,PL900-6620,BSD067360,BSD067360,,Good,1,08/22/2019,2019,349.00,200.00,PO-129440,,Percussion closet,,,"Stand, sticks, practice pad, rolling case",Music and Arts,,,,
Percussion,Bell Kit,Musser,M645,MU645-8130,BSD067361,BSD067361,,Fair,1,09/08/2014,2014,0,0,,,Percussion closet,,,"Stand, mallets",Music and Arts,"Donated, purchase price unknown",,,
