Charms Office Assistant - Inventory - Interlake HS Band
Printed 08/20/2026

Category,Description,Brand,Model,Serial #,Barcode,District No.,Case #,Cond,Quantity,Date Purch,Year Purch,Amt Paid,Cur Value,PO Num,Last Service,Locker,Lock #,Combo,Accessories,Vendor,Comments,Assigned To F,Assigned To L,Date Assigned
Brass,"Tuba, BBb",Yamaha,YBB-201,YT44182,BSD071204,BSD071204,,Good,1,08/18/2017,2017,6450.00,4800.00,PO-118902,07/10/2025,"Band room, tuba rack",,,"Hard case, mouthpiece",Kennelly Keys Music,,,,
Brass,"Tuba, BBb",King,2341W,K990233,BSD071205,BSD071205,,Fair,1,09/12/2009,2009,5200.00,2200.00,,,"Band room, tuba rack",,,"Case, mouthpiece",Ted Brown Music,"Dent in the bell flare, plays fine",,,
Brass,Euphonium,Yamaha,YEP-201,YE21774,BSD071211,BSD071211,,Excellent,1,02/04/2022,2022,3100.00,2700.00,PO-138455,,"Band room, cabinet 2",,,"Case, mouthpiece",Ted Brown Music,,,,
Brass,"French Horn, Double",Conn,8D,C8D-55219,BSD071219,BSD071219,,Good,1,10/03/2016,2016,4795.00,3400.00,PO-116330,05/22/2024,"Band room, cabinet 2",,,"Case, mouthpiece",Kennelly Keys Music,,,,
Woodwind,Bass Clarinet,Buffet Crampon,1180,B118-70441,BSD071225,BSD071225,,Good,1,01/22/2019,2019,4250.00,3100.00,PO-127710,,"Band room, cabinet 1",,,"Case, mouthpiece, neck strap, swab",Music and Arts,,,,
Woodwind,Saxophone - Bb Tenor,Yamaha,YTS-26,YS88301,BSD071230,BSD071230,,Excellent,1,02/04/2022,2022,2650.00,2300.00,PO-138455,,"Band room, cabinet 1",,,"Case, mouthpiece, ligature, neck strap",Ted Brown Music,,,,
Woodwind,Saxophone - Eb Baritone,Selmer,SAS280,SB-114772,BSD071231,BSD071231,,Needs Repair,1,09/12/2009,2009,4900.00,2400.00,,06/02/2025,Repair shelf,,,"Case, mouthpiece, neck strap",Kennelly Keys Music,"Low A key sticking, quoted at Kennelly Keys",,,
Percussion,"Timpani, 26 inch",Ludwig,LKP226FG,LT26-8841,BSD071240,BSD071240,,Good,1,08/18/2017,2017,5800.00,4200.00,PO-118902,,Percussion room,,,"Cover, tuning key, mallets",Music and Arts,,,,
Percussion,"Marimba, 4.3 octave",Adams,MSPV43,AD43-2207,BSD071241,BSD071241,,Excellent,1,03/15/2023,2023,9200.00,8600.00,PO-141088,,Percussion room,,,"Cover, mallets, rolling frame",Music and Arts,,,,
Strings,String Bass 3/4,Engelhardt,EM1,EN34-6612,BSD071250,BSD071250,,Good,1,10/03/2016,2016,2100.00,1500.00,PO-116330,08/19/2023,Orchestra room,,,"Padded cover, French bow, rosin",Hammond Ashley Violins,,,,
