Charms Office Assistant - Inventory - Medina Band
Printed 08/20/2026

Category,Description,Brand,Model,Serial #,Barcode,District No.,Case #,Cond,Quantity,Date Purch,Year Purch,Amt Paid,Cur Value,PO Num,Last Service,Locker,Lock #,Combo,Accessories,Vendor,Comments,Assigned To F,Assigned To L,Date Assigned
Woodwind,Flute,Yamaha,YFL-222,YF222-50318,BSD066301,BSD066301,,Good,1,08/22/2019,2019,459.00,330.00,PO-129610,,Cabinet A,,,"Case, cleaning rod",Kennelly Keys Music,,,,
Woodwind,"Clarinet, Bb",Yamaha,YCL-255,YC255-51427,BSD066310,BSD066310,,Good,1,08/21/2019,2019,419.00,290.00,PO-129610,06/22/2025,Cabinet A,,,"Case, mouthpiece, ligature, swab",Kennelly Keys Music,,,,
Woodwind,"Clarinet, Bb",Buffet Crampon,Prodige,B560112,BSD066311,BSD066311,,Excellent,1,08/22/2023,2023,649.00,580.00,PO-141415,,Cabinet A,,,"Case, mouthpiece, ligature, swab",Ted Brown Music,,,,
Woodwind,Alto Saxophone,Yamaha,YAS-26,YA26-53019,BSD066320,BSD066320,,Good,1,08/21/2019,2019,1150.00,850.00,PO-129610,,Cabinet B,,,"Case, mouthpiece, ligature, neck strap",Music and Arts,,,,
Brass,"Trumpet, Bb",Bach,TR300H2,TR300-54326,BSD066330,BSD066330,,Fair,1,08/21/2013,2013,589.00,230.00,,,Cabinet B,,,"Case, 7C mouthpiece",Kennelly Keys Music,"Finish worn, valves good",,,
Brass,"Trumpet, Bb",Yamaha,YTR-2330,YT2330-55810,BSD066331,BSD066331,,Excellent,1,08/22/2023,2023,1099.00,990.00,PO-141415,,Cabinet B,,,"Case, mouthpiece",Ted Brown Music,,,,
Brass,Trombone,Yamaha,YSL-354,YS354-56924,BSD066340,BSD066340,,Good,1,08/21/2019,2019,1150.00,790.00,PO-129610,,Cabinet C,,,"Case, mouthpiece",Kennelly Keys Music,,,,
Brass,French Horn,Holton,H602,H602-58133,BSD066350,BSD066350,,Needs Repair,1,08/21/2016,2016,1749.00,800.00,,09/02/2025,Repair shelf,,,"Case, mouthpiece",Kennelly Keys Music,"Water key spring gone, part on order",,,
Percussion,Snare Drum Kit,Pearl,PL-900C,PL900-59240,BSD066360,BSD066360,,Good,1,08/21/2019,2019,349.00,220.00,PO-129610,,Percussion closet,,,"Stand, sticks, practice pad, rolling case",Music and Arts,,,,
Percussion,Bell Kit,Musser,M645,MU645-60415,BSD066361,BSD066361,,Good,1,08/22/2019,2019,398.00,260.00,PO-129610,,Percussion closet,,,"Stand, mallets",Music and Arts,,,,
