Charms Office Assistant - Inventory - Sherwood Forest Band
Printed 08/20/2026

Category,Description,Brand,Model,Serial #,Barcode,District No.,Case #,Cond,Quantity,Date Purch,Year Purch,Amt Paid,Cur Value,PO Num,Last Service,Locker,Lock #,Combo,Accessories,Vendor,Comments,Assigned To F,Assigned To L,Date Assigned
Woodwind,Flute,Gemeinhardt,2SP,GM2SP-10461,BSD069101,BSD069101,,Good,1,08/22/2017,2017,429.00,240.00,PO-118220,,Cabinet 1,,,"Case, cleaning rod",Music and Arts,,,,
Woodwind,"Clarinet, Bb",Yamaha,YCL-255,YC255-11530,BSD069110,BSD069110,,Good,1,08/21/2017,2017,419.00,260.00,PO-118220,06/30/2025,Cabinet 1,,,"Case, mouthpiece, ligature, swab",Kennelly Keys Music,,,,
Woodwind,"Clarinet, Bb",Jupiter,JCL700,JC700-12844,BSD069111,BSD069111,,Excellent,1,08/22/2024,2024,579.00,540.00,PO-144102,,Cabinet 1,,,"Case, mouthpiece, ligature, swab",Ted Brown Music,,,,
Woodwind,Alto Saxophone,Yamaha,YAS-26,YA26-13957,BSD069120,BSD069120,,Good,1,08/21/2020,2020,1150.00,860.00,PO-132411,,Cabinet 2,,,"Case, mouthpiece, ligature, neck strap",Kennelly Keys Music,,,,
Brass,"Trumpet, Bb",Bach,TR300H2,TR300-15208,BSD069130,BSD069130,,Good,1,08/21/2017,2017,589.00,310.00,PO-118220,,Cabinet 2,,,"Case, 7C mouthpiece",Kennelly Keys Music,,,,
Brass,"Trumpet, Bb",Yamaha,YTR-2330,YT2330-16733,BSD069131,BSD069131,,Excellent,1,08/22/2024,2024,1099.00,1020.00,PO-144102,,Cabinet 2,,,"Case, mouthpiece",Ted Brown Music,,,,
Brass,Trombone,Yamaha,YSL-354,YS354-18029,BSD069140,BSD069140,,Fair,1,08/21/2013,2013,1050.00,420.00,,,Cabinet 3,,,"Case, mouthpiece",Music and Arts,"Slide is true, finish worn",,,
Brass,French Horn,Conn,14D,C14D-19312,BSD069150,BSD069150,,Good,1,08/21/2020,2020,2250.00,1700.00,PO-132411,08/12/2025,"Floor, cabinet 3",,,"Case, mouthpiece",Kennelly Keys Music,,,,
Percussion,Snare Drum Kit,Yamaha,SK-275,SK275-20518,BSD069160,BSD069160,,Good,1,08/21/2020,2020,389.00,260.00,PO-132411,,Percussion closet,,,"Stand, sticks, practice pad, rolling case",Music and Arts,,,,
Percussion,Bell Kit,Pearl,PK-910C,PK910-21706,BSD069161,BSD069161,,Fair,1,08/22/2013,2013,0,0,,,Percussion closet,,,"Stand, mallets",Music and Arts,"Donated by the PTA, purchase price unknown",,,
