Charms Office Assistant - Inventory - Stevenson Band
Printed 08/20/2026

Category,Description,Brand,Model,Serial #,Barcode,District No.,Case #,Cond,Quantity,Date Purch,Year Purch,Amt Paid,Cur Value,PO Num,Last Service,Locker,Lock #,Combo,Accessories,Vendor,Comments,Assigned To F,Assigned To L,Date Assigned
Woodwind,Flute,Yamaha,YFL-222,YF222-30215,BSD070101,BSD070101,,Excellent,1,08/22/2023,2023,479.00,440.00,PO-141330,,Cabinet A,,,"Case, cleaning rod",Kennelly Keys Music,,,,
Woodwind,Flute,Armstrong,104,AR104-31528,BSD070102,BSD070102,,Fair,1,08/23/2012,2012,389.00,140.00,,07/02/2024,Cabinet A,,,"Case, cleaning rod",Music and Arts,Pads replaced summer 2024,,,
Woodwind,"Clarinet, Bb",Yamaha,YCL-255,YC255-32844,BSD070110,BSD070110,,Good,1,08/21/2018,2018,419.00,270.00,PO-121980,,Cabinet A,,,"Case, mouthpiece, ligature, swab",Kennelly Keys Music,,,,
Woodwind,Alto Saxophone,Selmer,SAS411,SA411-34019,BSD070120,BSD070120,,Needs Repair,1,08/21/2018,2018,1495.00,700.00,PO-121980,,Repair shelf,,,"Case, mouthpiece, neck strap",Ted Brown Music,"Bent octave key, at the shop for an estimate",,,
Brass,"Trumpet, Bb",Yamaha,YTR-2330,YT2330-35266,BSD070130,BSD070130,,Good,1,08/21/2018,2018,1049.00,700.00,PO-121980,06/18/2025,Cabinet B,,,"Case, mouthpiece",Kennelly Keys Music,,,,
Brass,"Trumpet, Bb",Bach,TR300H2,TR300-36607,BSD070131,BSD070131,,Good,1,08/22/2015,2015,589.00,290.00,,,Cabinet B,,,"Case, 7C mouthpiece",Music and Arts,,,,
Brass,Trombone,King,606,K606-37918,BSD070140,BSD070140,,Excellent,1,08/21/2023,2023,689.00,620.00,PO-141330,,Cabinet B,,,"Case, mouthpiece",Ted Brown Music,,,,
Brass,Baritone Horn,Yamaha,YBH-301,YB301-39041,BSD070150,BSD070150,,Good,1,08/21/2018,2018,1875.00,1250.00,PO-121980,,"Floor, cabinet C",,,"Hard case, mouthpiece",Kennelly Keys Music,,,,
Percussion,Snare Drum Kit,Pearl,PL-900C,PL900-40233,BSD070160,BSD070160,,Good,1,08/21/2018,2018,349.00,210.00,PO-121980,,Percussion closet,,,"Stand, sticks, practice pad, rolling case",Music and Arts,,,,
Percussion,Bell Kit,Yamaha,YG-250D,YG250-41519,BSD070161,BSD070161,,Good,1,08/22/2018,2018,419.00,270.00,PO-121980,,Percussion closet,,,"Stand, mallets, case",Music and Arts,,,,
