Charms Office Assistant - Inventory Report - 5th Grade Orchestra
Printed 08/19/2026

Category,Description,Brand,Model,Serial #,Barcode,District No.,Case #,Cond,Quantity,Date Purch,Year Purch,Amt Paid,Cur Value,PO Num,Last Service,Locker,Lock #,Combo,Accessories,Vendor,Comments,Assigned To F,Assigned To L,Date Assigned
Strings,Violin 1/2,Eastman,VL80,EVL80-21447,BSD061204,BSD061204,VN-12,Good,1,08/29/2019,2019,265.00,175.00,PO-129901,,"Cabinet A, Shelf 2",,,"Case, bow, rosin, shoulder rest",Hammond Ashley Violins,,,,
Strings,Violin 1/2,Eastman,VL80,EVL80-21448,BSD061205,BSD061205,VN-13,Good,1,08/29/2019,2019,265.00,175.00,PO-129901,,"Cabinet A, Shelf 2",,,"Case, bow, rosin, shoulder rest",Hammond Ashley Violins,Bow needs rehairing,,,
Strings,Violin 3/4,Eastman,VL80,EVL80-24913,BSD061211,BSD061211,VN-18,Excellent,1,08/24/2022,2022,289.00,240.00,PO-138502,,"Cabinet A, Shelf 2",,,"Case, bow, rosin, shoulder rest",Hammond Ashley Violins,,,,
Strings,Violin 4/4,Scherl and Roth,R101,SR101-40228,BSD055713,BSD055713,VN-21,Good,1,09/11/2015,2015,319.00,180.00,,07/19/2024,"Cabinet A, Shelf 3",,,"Case, bow, rosin",Kennelly Keys Music,New bridge fitted summer 2024,,,
Strings,Viola 13 inch,Eastman,VA80,EVA80-11902,BSD061220,BSD061220,VA-04,Good,1,08/29/2019,2019,345.00,225.00,PO-129901,,"Cabinet A, Shelf 3",,,"Case, bow, rosin, shoulder rest",Hammond Ashley Violins,,,,
Strings,Viola 14 inch,Knilling,110VA,KN110-63317,BSD061221,BSD061221,VA-06,Fair,1,09/11/2015,2015,379.00,195.00,,,"Cabinet A, Shelf 3",,,"Case, bow",Kennelly Keys Music,"Open seam at the lower bout, still playable",,,
Strings,Cello 1/4,Eastman,VC80,EVC80-30514,BSD061230,BSD061230,VC-02,Good,1,08/29/2019,2019,695.00,480.00,PO-129901,06/03/2025,Cello rack,,,"Soft case, bow, rosin, endpin stop",Hammond Ashley Violins,,,,
Strings,Cello 1/2,Cremona,SC-100,CR100-52880,BSD058442,BSD058442,VC-05,Needs Repair,1,10/07/2017,2017,749.00,400.00,PO-118330,,Repair shelf,,,"Soft case, bow",Music and Arts,"Fingerboard is coming unglued, Hammond Ashley has the estimate",,,
Strings,Cello 3/4,Eastman,VC100,EVC100-19076,BSD061231,BSD061231,VC-08,Excellent,1,08/24/2022,2022,829.00,720.00,PO-138502,,Cello rack,,,"Padded case, bow, rosin, endpin stop",Hammond Ashley Violins,,,,
Strings,String Bass 1/4,Palatino,VB-004,PAL004-7712,BSD058450,BSD058450,SB-01,Good,1,10/07/2017,2017,1395.00,900.00,PO-118330,08/15/2023,Bass corner,,,"Padded cover, French bow, rosin",Hammond Ashley Violins,"Stays at school, too large to send home",,,
